epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,577.986,1.20314,0.88897,1.24172,0.69633,0.62975,0.67215,0.36986,1.51014,0.98824,1.40251,0.000990365,0.000990365,0.000990365
43,593.55,1.22592,0.89443,1.24789,0.69488,0.63079,0.66739,0.36061,1.49443,0.98414,1.39328,0.000973861,0.000973861,0.000973861
44,608.389,1.19061,0.87218,1.22793,0.71105,0.59024,0.66968,0.37303,1.5148,0.99546,1.40307,0.000957358,0.000957358,0.000957358
45,623.023,1.21125,0.8826,1.23939,0.66825,0.62608,0.68403,0.38255,1.48887,0.99967,1.39018,0.000940855,0.000940855,0.000940855
46,638.216,1.18675,0.86969,1.23089,0.67629,0.63898,0.68404,0.39044,1.47385,0.98928,1.37648,0.000924352,0.000924352,0.000924352
47,652.648,1.19243,0.86744,1.2296,0.69388,0.63103,0.6849,0.38472,1.50002,1.04907,1.40073,0.000907848,0.000907848,0.000907848
48,666.488,1.18404,0.86489,1.22165,0.71639,0.64929,0.68979,0.39402,1.48439,0.98484,1.36908,0.000891345,0.000891345,0.000891345
49,680.31,1.17659,0.85956,1.22676,0.63862,0.67115,0.69259,0.39369,1.47816,0.968,1.3833,0.000874842,0.000874842,0.000874842
50,694.019,1.1667,0.85625,1.21484,0.74709,0.61219,0.6861,0.38594,1.47428,0.95459,1.37429,0.000858338,0.000858338,0.000858338
51,707.701,1.17426,0.83796,1.21548,0.74418,0.61332,0.68639,0.39345,1.48535,0.96485,1.38238,0.000841835,0.000841835,0.000841835
52,721.31,1.16338,0.83059,1.21055,0.72794,0.65527,0.70721,0.39396,1.4762,0.95331,1.38134,0.000825332,0.000825332,0.000825332
53,734.886,1.13393,0.81354,1.20327,0.78261,0.63676,0.71252,0.39467,1.4822,0.93999,1.38551,0.000808828,0.000808828,0.000808828
54,748.58,1.14596,0.82139,1.21011,0.73819,0.62521,0.66796,0.37575,1.48453,0.93474,1.37793,0.000792325,0.000792325,0.000792325
55,762.421,1.16057,0.82613,1.20493,0.7069,0.65155,0.69723,0.39378,1.49358,0.95024,1.39006,0.000775822,0.000775822,0.000775822
56,776.161,1.14337,0.82079,1.20425,0.75604,0.61831,0.69422,0.38357,1.48429,0.96251,1.37739,0.000759318,0.000759318,0.000759318
